8B00:      { 101 4 ---  101 4 -y-  102 4 ---  103 4 -y- }

8B01:      { 103 4 ---  103 4 -y-  101 4 x--  101 4 xy- }

8B02:      { 10B 0 ---  10B 0 ---  10B 0 ---  10B 0 --- }

8B03:      { 10B 0 ---  117 0 ---  10A 0 x--  118 0 --- }

8B04:      { 10B 0 ---  119 0 ---  15D 0 ---  11A 0 --- }

8B05:      { 115 0 ---  121 0 ---  115 0 ---  11A 0 --- }

8B06:      { 145 0 ---  147 0 ---  146 0 ---  11B 0 --- }

8B07:      { 10B 0 ---  117 0 ---  10B 0 ---  118 0 --- }

8B08:      { 10F 0 x--  14F 0 ---  109 0 ---  150 0 --- }

8B09:      { 110 4 ---  112 0 ---  112 0 ---  109 0 --- }

8B0A:      { 0F8 0 ---  105 0 ---  105 0 ---  109 0 --- }

8B0B:      { 108 0 ---  10C 0 ---  0F8 0 ---  108 0 --- }

8B0C:      { 10B 0 x--  10B 0 x--  10A 0 x--  10A 0 x-- }

8B0D:      { 10B 0 x--  107 0 xy-  10A 0 xy-  106 0 xy- }

8B0E:      { 0F8 4 ---  130 4 ---  0F8 4 ---  131 4 --- }

8B0F:      { 110 4 ---  110 4 ---  132 4 x--  110 4 --- }

8B10:      { 115 0 ---  127 0 ---  115 0 ---  128 0 --- }

8B11:      { 113 0 x--  115 0 ---  10B 0 ---  11E 0 --- }

8B12:      { 117 0 ---  11B 0 ---  118 0 ---  11B 0 --- }

8B13:      { 11B 0 ---  11B 0 ---  11B 0 ---  11B 0 --- }

8B14:      { 11C 0 ---  11F 0 ---  11D 0 ---  120 0 --- }

8B15:      { 120 0 ---  120 0 ---  11D 0 ---  120 0 --- }

8B16:      { 140 0 ---  143 0 ---  11B 0 ---  11B 0 --- }

8B17:      { 11B 0 ---  11B 0 ---  11B 0 ---  11B 0 --- }

8B18:      { 11F 0 ---  123 0 ---  120 0 ---  120 0 --- }

8B19:      { 106 0 ---  10A 0 ---  107 0 ---  10B 0 --- }

8B1A:      { 10A 0 ---  10A 0 ---  10B 0 ---  10B 0 --- }

